captain_id,name,rating,avg_speed_kmh,active_hours,district,total_deliveries,on_time_rate
CAP001,السيدة سجى آل قصير,3.5,32,6,حطين,2085,0.65
CAP002,الدكتورة جوان آل معيض,2.7,44,12,الربوة,785,0.97
CAP003,الآنسة أحلام آل عواض,3.7,46,7,الورود,3229,0.94
CAP004,سامر حنبولي,3.0,49,6,الشهداء,2825,0.63
CAP005,عبد الشّكور الدباغ,4.3,25,11,الورود,3348,0.62
CAP006,الدكتورة ربى آل العسكري,3.9,47,7,الورود,4427,0.63
CAP007,ثروت فصيل,3.8,32,11,العليا,2978,0.65
CAP008,الأستاذ جاسم العليان,4.9,30,11,الشهداء,1505,0.97
CAP009,ريان آل رفيع,4.2,22,5,العليا,1452,0.78
CAP010,نوح آل عواض,4.5,25,10,النخيل,1220,0.72
CAP011,فردوس بن لادن,2.5,41,6,الربوة,3370,0.68
CAP012,الدكتور نافذ حجار,4.5,23,7,المروج,2160,0.81
CAP013,السيد شبيب العقيل,4.6,28,9,المروج,507,0.65
CAP014,السيد خافق المهيدب,4.7,58,6,الشهداء,3394,0.65
CAP015,السيدة هنادي كانو,2.8,38,6,الملقا,3407,0.66
CAP016,الآنسة نغم الشايع,3.0,55,9,المروج,1966,0.93
CAP017,علاء الدّين كانو,2.8,43,6,النخيل,4156,0.71
CAP018,الأستاذ عبد الغفّار الجابر,4.0,23,9,حطين,3138,0.76
CAP019,يافع الشايع,4.6,45,10,السليمانية,3089,0.81
CAP020,الأستاذ نظام أبو داوود,3.0,22,9,السليمانية,3687,0.69
CAP021,المهندسة ناردين آل بن لافي,4.6,34,8,النخيل,2621,0.69
CAP022,المهندسة دارين آل عايض,4.5,35,10,الياسمين,3639,0.89
CAP023,الآنسة جوان الخرافي,2.7,48,10,الياسمين,620,0.8
CAP024,الآنسة اعتماد آل حسين,4.8,40,11,الربوة,1092,0.96
CAP025,السيدة اعتكاف آل سلطان,3.1,38,10,الشهداء,1355,0.71
CAP026,عاطف الراشد,4.2,58,11,حطين,3161,0.73
CAP027,لورا الشايع,3.0,20,9,الياسمين,1633,0.95
CAP028,الأستاذة مايا المهنا,4.2,60,8,السليمانية,1944,0.76
CAP029,السيد نزار المهنا,4.7,45,4,النخيل,4159,0.81
CAP030,ميرا آل علي,2.5,39,6,الربوة,3688,0.96
CAP031,بوران آل علي,3.2,46,11,الربوة,4400,0.84
CAP032,كرمة آل سلطان,4.4,58,8,حطين,218,0.99
CAP033,الدكتورة اعتكاف آل عواض,4.5,24,4,العليا,3464,0.72
CAP034,غامد الشايع,4.9,60,8,حطين,870,0.99
CAP035,الأستاذة تمام المهنا,4.5,45,6,الياسمين,3825,0.73
CAP036,يونس آل بن ظافر,4.7,48,10,السليمانية,4652,0.97
CAP037,الأستاذ سيف الدّين آل سعود,2.9,36,7,الياسمين,3844,0.82
CAP038,الأستاذة بارعة آل معيض,4.7,44,6,المروج,4742,0.95
CAP039,أسيل الحكير,4.7,50,6,النخيل,4405,0.69
CAP040,عزيز العجلان,3.6,20,5,الورود,4097,0.63
CAP041,الدكتورة شادن الجفالي,4.1,20,12,الياسمين,148,0.83
CAP042,المهندسة نوال شربتلي,3.5,30,6,الشهداء,439,0.75
CAP043,السيد صباح الحكير,2.6,52,7,الربوة,2443,0.66
CAP044,سخاء بن لادن,3.6,46,7,حطين,1009,0.79
CAP045,فدائي آل علي,3.2,43,5,الربوة,1673,0.9
CAP046,المهندسة لورا آل حسين,2.9,42,12,النخيل,980,0.88
CAP047,جميلة آل الشيخ,4.6,29,12,النخيل,321,0.9
CAP048,ربى المشاولة,4.1,30,9,حطين,1369,0.73
CAP049,تاليا آل قصير,2.6,41,10,حطين,2568,0.67
CAP050,جمال الدّين آل حسين,2.8,51,12,العليا,1943,0.75
CAP051,حبّاب المشاولة,4.2,26,7,الشهداء,3686,0.89
CAP052,شفيع المشاولة,4.0,25,6,الملقا,3686,0.75
CAP053,علاء حجار,3.3,22,10,العليا,2512,0.97
CAP054,مايا المغاولة,2.8,20,8,الربوة,2472,0.71
CAP055,أسيل آل عطفة,3.7,24,4,الورود,1393,0.84
CAP056,دليل آل سعود,3.3,41,9,العليا,3135,0.92
CAP057,غطفان المشاولة,4.0,55,6,العليا,2415,0.89
CAP058,الأستاذة رواء آل خضير,3.5,34,6,الربوة,3378,0.99
CAP059,حكيم آل علي,3.0,36,6,الشهداء,819,0.77
CAP060,سلسبيل آل خضير,3.9,21,7,الملقا,1522,0.85
CAP061,خليفة المشاولة,2.7,36,6,الشهداء,3577,0.66
CAP062,الآنسة باسمة الشايع,4.8,22,12,السليمانية,3705,0.63
CAP063,الأستاذ فؤاد الحجار,4.0,41,10,الملقا,3967,0.96
CAP064,الآنسة بنان فصيل,2.7,52,6,حطين,4743,0.79
CAP065,شادي آل علي,4.3,26,10,الشهداء,1702,0.95
CAP066,الدكتورة مادلين العقيل,2.9,50,7,الملقا,2151,0.67
CAP067,ظاهر الحكير,3.8,52,12,النخيل,1972,0.69
CAP068,عبد القدّوس العليان,3.1,46,10,الربوة,4649,0.63
CAP069,الآنسة ريتال بن لادن,3.1,56,9,المروج,1599,0.64
CAP070,الدكتور زاكي آل عواض,4.1,22,10,العليا,2632,0.67
CAP071,الأستاذ صالح الحكير,2.6,38,6,الياسمين,2138,0.6
CAP072,الأستاذ خميس آل صفوان,3.8,32,9,النخيل,1354,0.73
CAP073,هزار الجابر,2.9,39,12,الياسمين,1672,0.78
CAP074,مسعود آل بن لافي,4.9,21,9,حطين,1206,0.84
CAP075,المهندسة نشوة آل بن لافي,4.6,44,4,الورود,2654,0.95
CAP076,هلالي الجابر,3.1,29,5,العليا,287,0.67
CAP077,لوليا آل بن لافي,3.1,59,8,النخيل,56,0.77
CAP078,الآنسة دانة المغاولة,4.1,25,9,المروج,3521,0.82
CAP079,المهندسة دارين آل حسين,3.4,55,8,الورود,2875,0.92
CAP080,الدكتورة ريناد آل بن ظافر,3.2,35,5,العليا,1849,0.7
CAP081,شوقي آل عطفة,4.1,37,8,الشهداء,2041,0.68
CAP082,المهندسة وفاء العجلان,4.2,53,4,الشهداء,2195,0.63
CAP083,الدكتور عصمت حنبولي,3.5,21,8,المروج,3667,0.77
CAP084,دانة حجار,4.8,40,12,حطين,4429,0.96
CAP085,الآنسة ألين أبو داوود,4.7,38,10,حطين,608,0.83
CAP086,الدكتور راجح آل عايض,3.2,51,9,الشهداء,747,0.87
CAP087,لطفي آل جعفر,2.6,25,6,السليمانية,1625,0.77
CAP088,هيام آل عطفة,4.2,57,4,العليا,1044,0.91
CAP089,بشرى الجابر,3.0,60,5,العليا,3570,0.92
CAP090,السيد مقداد آل العسكري,4.7,31,6,الياسمين,1501,0.88
CAP091,خضر آل معيض,2.8,31,10,السليمانية,838,0.63
CAP092,عصام آل علي,4.9,39,8,الملقا,2295,0.88
CAP093,سراج الدّين حنبولي,2.6,58,5,الياسمين,3928,0.75
CAP094,حلا الجفالي,4.7,58,11,حطين,4159,0.72
CAP095,صبري آل سعود,3.6,52,8,الملقا,3813,0.71
CAP096,الدكتور سخاء المهيدب,3.0,52,6,الربوة,1933,0.84
CAP097,السيد رمزي الجفالي,4.0,24,7,الربوة,3613,0.9
CAP098,هناء الخرافي,3.9,41,10,الشهداء,724,0.6
CAP099,ميرال المغاولة,2.7,49,5,النخيل,89,0.68
CAP100,حسيب العجلان,4.8,35,8,حطين,988,0.66
CAP101,الأستاذة ترف المشاولة,3.1,39,6,الربوة,1606,0.63
CAP102,السيد طائف مهنا,2.8,21,7,الياسمين,3363,0.73
CAP103,عالية أبا الخيل,2.6,36,11,الربوة,2912,0.69
CAP104,المهندس كرم المغاولة,2.8,40,12,حطين,1759,0.92
CAP105,نوح الجفالي,4.1,58,10,المروج,1390,0.84
CAP106,ديمه الراشد,3.9,53,12,الياسمين,218,0.61
CAP107,الآنسة ناهد شربتلي,4.0,29,6,السليمانية,425,0.63
CAP108,ليم آل الشيخ,3.3,55,8,الورود,1467,0.82
CAP109,السيد مقداد آل علي,4.2,26,12,الياسمين,319,0.86
CAP110,الدكتور نادي آل عواض,3.4,32,6,العليا,1488,0.85
CAP111,نشأت آل معيض,3.7,47,12,الربوة,3158,0.75
CAP112,المهندس نجدت آل سلطان,4.1,44,8,النخيل,1719,0.98
CAP113,السيد نور الحقّ الجفالي,3.4,24,8,النخيل,86,0.74
CAP114,زكية أبو داوود,3.3,35,5,الشهداء,2420,0.99
CAP115,السيدة دارين آل بن ظافر,3.2,28,6,الملقا,2402,0.98
CAP116,محمود كانو,4.2,21,12,الربوة,4433,0.7
CAP117,الأستاذة ريتال شربتلي,3.1,53,12,الملقا,2221,0.72
CAP118,سمير الشايع,4.4,25,9,العليا,4080,0.69
CAP119,شهاب حنبولي,4.1,51,8,حطين,4207,0.99
CAP120,طامح المهيدب,2.8,24,9,الربوة,1106,0.98
CAP121,طلال الدباغ,4.8,42,12,العليا,579,0.61
CAP122,المهندسة دعاء آل سعود,3.0,20,11,حطين,4348,0.9
CAP123,المهندسة ابتهاج آل سعود,3.7,20,7,العليا,1853,0.66
CAP124,السيد عبد الصّمد آل خضير,4.1,31,6,الربوة,3799,0.71
CAP125,الدكتورة جميلة آل بن لافي,4.0,22,8,العليا,316,0.87
CAP126,السيد رمحي آل بن ظافر,3.9,43,11,الملقا,2378,0.82
CAP127,لاما الخرافي,4.2,29,4,الورود,4768,0.92
CAP128,باهرة آل بن ظافر,3.8,32,10,الياسمين,1504,0.8
CAP129,عالية آل عطفة,3.7,25,10,السليمانية,2182,0.97
CAP130,جوان فصيل,3.3,20,12,الملقا,298,0.87
CAP131,أفراح آل سعود,3.1,21,6,الربوة,1871,0.72
CAP132,المهندس ميمون آل عطفة,3.3,42,10,الملقا,2222,0.75
CAP133,يمام آل عايض,2.9,29,12,المروج,3856,0.71
CAP134,الأستاذ مُناضل آل محمد بن علي بن جماز,4.6,60,9,الملقا,2734,0.82
CAP135,المهندس جسور حنبولي,4.2,23,12,السليمانية,4594,0.86
CAP136,الأستاذ سلام كانو,2.9,49,7,الربوة,1014,0.91
CAP137,المهندس علم الدّين آل بن لافي,3.5,41,10,الربوة,2640,0.73
CAP138,تاليا كانو,3.0,24,5,حطين,2076,0.91
CAP139,عرفات آل الشيخ,3.5,35,10,حطين,2844,0.63
CAP140,شعيب الحكير,2.6,23,5,المروج,3160,0.68
CAP141,لوجين آل سعود,4.9,48,9,الربوة,106,0.97
CAP142,شهد الخرافي,4.1,60,10,الشهداء,3609,0.72
CAP143,السيد مروان آل سلطان,4.3,30,6,المروج,4708,0.75
CAP144,ساجي آل الشيخ,4.6,50,11,المروج,1551,0.78
CAP145,السيد نجوان آل مقطة,3.8,58,8,الربوة,3709,0.84
CAP146,سنام شربتلي,4.4,50,4,المروج,1629,0.65
CAP147,الدكتور شاكر الحجار,3.7,44,10,الورود,540,0.88
CAP148,فداء الحجار,2.8,27,12,السليمانية,4481,0.96
CAP149,خلف آل جعفر,5.0,20,5,الملقا,4872,0.89
CAP150,الدكتور حليم الحجار,2.8,34,8,العليا,2883,0.88
CAP151,الدكتور نصر الدّين آل مقطة,2.7,22,7,العليا,1627,0.69
CAP152,السيدة ميار آل خضير,4.0,33,7,الربوة,102,0.67
CAP153,المهندسة فردوس مهنا,3.2,42,9,الورود,2816,0.7
CAP154,مُتولي آل العسكري,2.5,48,5,الملقا,4815,0.97
CAP155,لارا آل حسين,4.6,33,10,الياسمين,3071,0.73
CAP156,الدكتور سعدون كانو,4.3,50,9,الياسمين,3982,0.85
CAP157,عبد المجيد بن لادن,2.5,21,8,الربوة,788,0.73
CAP158,الدكتور قصيد حنبولي,5.0,21,10,الورود,78,0.67
CAP159,لهفان الجابر,3.4,57,9,الياسمين,2670,0.96
CAP160,الدكتور شكيب المهنا,4.7,36,10,الملقا,4990,0.92
CAP161,الدكتور عبد الحيّ كانو,4.2,54,5,النخيل,3996,0.63
CAP162,المهندس فوزي آل عايض,2.7,32,5,الورود,3234,0.94
CAP163,الأستاذ عبّود الجفالي,4.9,35,4,الملقا,4582,0.7
CAP164,دهمان فصيل,3.9,30,4,الورود,2625,0.67
CAP165,عبد السّلام العليان,3.2,31,6,الشهداء,237,0.86
CAP166,الآنسة جوانا آل علي,2.9,39,9,المروج,1237,0.62
CAP167,الأستاذ تامر الشايع,3.2,42,8,حطين,2630,0.96
CAP168,سنام الجفالي,2.7,36,10,النخيل,4950,0.63
CAP169,الدكتورة عتاب آل محمد بن علي بن جماز,3.9,20,7,الورود,4061,0.75
CAP170,الدكتورة راما آل رفيع,2.8,59,7,حطين,3557,0.92
CAP171,السيدة جوين آل العسكري,3.6,46,7,المروج,1907,0.95
CAP172,سيّد آل حسين,3.2,22,7,الورود,3876,0.91
CAP173,سجا الدباغ,3.0,55,4,الملقا,306,0.99
CAP174,الدكتور زاهر المشاولة,3.2,47,4,النخيل,763,0.67
CAP175,المهندس تقيّ الدّين آل خضير,3.1,27,5,النخيل,696,0.61
CAP176,مَجدي العقيل,4.7,37,9,الورود,1476,0.77
CAP177,الدكتور نبيه فصيل,4.0,47,6,المروج,1655,0.8
CAP178,إخلاص آل صفوان,3.3,24,9,الملقا,2597,0.86
CAP179,وفاء العليان,3.3,22,7,حطين,414,0.8
CAP180,المهندسة ابتهاج كانو,3.3,35,11,النخيل,2261,0.94
CAP181,فداء آل جعفر,3.5,33,5,العليا,1388,0.79
CAP182,السيدة إلينا العليان,2.8,31,7,الملقا,1452,0.84
CAP183,الدكتورة بلند الدباغ,4.6,57,8,النخيل,2033,0.68
CAP184,الأستاذ غسّان آل محمد بن علي بن جماز,3.8,54,4,الشهداء,3660,0.86
CAP185,ضياء المغاولة,3.6,37,8,الربوة,3665,0.65
CAP186,هادي مهنا,4.4,49,12,الورود,3967,0.89
CAP187,رباح آل رفيع,4.5,58,5,الملقا,609,0.94
CAP188,السيدة غيداء العجلان,4.1,30,7,الربوة,1076,0.8
CAP189,عارف آل عايض,3.5,38,4,الياسمين,3205,0.67
CAP190,عاصم المشاولة,3.4,58,4,النخيل,4967,0.68
CAP191,سنان آل محمد بن علي بن جماز,3.8,36,9,الملقا,1316,0.85
CAP192,المهندسة مريم المشاولة,3.7,56,11,الملقا,2862,0.75
CAP193,ناضر آل قصير,3.1,37,8,حطين,4204,0.83
CAP194,الأستاذة آلاء آل قصير,4.3,50,6,المروج,2329,0.85
CAP195,الأستاذة بوران آل خضير,3.6,31,7,الشهداء,2542,0.89
CAP196,عزمي آل عايض,3.8,37,4,الورود,166,0.9
CAP197,ناديه حجار,3.4,28,12,الياسمين,4649,0.64
CAP198,السيد ممتاز شربتلي,3.5,52,6,الربوة,3097,0.68
CAP199,لورين حنبولي,4.6,52,5,المروج,907,0.84
CAP200,الأستاذ عبد المولى حجار,3.6,52,10,الشهداء,4307,0.89
